longitude,latitude,disposition
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
-1000000,-1000000,"(0,0)"
76.5182337,43.110517,"(0.0,0.0)"
76.5182235,43.1105296,"(-1.1336177990331464,1.400351399781151)"
76.51822489999999,43.1105305,"(-0.9780232003736131,1.500376500160364)"
76.5182263,43.1105318,"(-0.8224286001346996,1.6448571994797092)"
76.5182257,43.1105359,"(-0.8891119993345882,2.1005271000665715)"
76.5182264,43.110534900000005,"(-0.8113146992151314,1.9893881003471705)"
76.5182338,43.1105314,"(0.01111390091956821,1.6004015997498868)"
76.5182399,43.1105287,"(0.6890618001555424,1.300326300191628)"
76.5182423,43.1105282,"(0.9557954001138569,1.2447567995422375)"
76.5182458,43.1105239,"(1.3447819007111406,0.7668590994853091)"
76.518245,43.1105253,"(1.2558706996721156,0.9224536997242225)"
76.51823470000001,43.1105361,"(0.11113900129878118,2.1227548995366377)"
76.5182257,43.1105462,"(-0.8891119993345882,3.245258800019286)"
76.5182207,43.1105545,"(-1.4448069995109734,4.167712499743509)"
76.5182218,43.1105565,"(-1.3225540988720041,4.389990499972001)"
76.5182198,43.110558899999994,"(-1.5448320998901863,4.656724099140625)"
76.5182168,43.1105633,"(-1.8782490990483893,5.145735700117122)"
76.5182132,43.1105699,"(-2.278349498985861,5.879253100002487)"
76.5182097,43.1105762,"(-2.6673359995831447,6.579428799498217)"
76.5182033,43.110585199999996,"(-3.3786255999984434,7.579679799341896)"
76.5182,43.110585799999996,"(-3.745384300335971,7.646363199331475)"
76.5181988,43.1105845,"(-3.878751100315128,7.50188250001213)"
76.5181995,43.1105845,"(-3.8009538001956713,7.50188250001213)"
76.51819760000001,43.110585199999996,"(-4.012117898714905,7.579679799341896)"
76.5181964,43.110581499999995,"(-4.1454847002734425,7.1684654992745465)"
76.5182337,43.110517,"(0.0,0.0)"
76.5181942,43.1105775,"(-4.389990499972001,6.723909499607252)"
76.5181919,43.1105801,"(-4.645610199010747,7.012870899825323)"
76.5181885,43.1105825,"(-5.023482800267843,7.2796044997836376)"
76.5181837,43.110587699999996,"(-5.556950000184472,7.857527299430089)"
76.5181786,43.1105851,"(-6.123758899701045,7.568565900001708)"
76.518172,43.1105784,"(-6.8572762987967195,6.823934599986465)"
76.5181659,43.1105654,"(-7.535224199612074,5.379127599685802)"
76.51815859999999,43.110572899999994,"(-8.346538900406586,6.21267009916069)"
76.5181505,43.1105748,"(-9.246764799081362,6.423834200048994)"
