Type,Disposition
Processed,"(0.7841473895414073,0.8767632222460631)"
Processed,"(1.2521660669798877,1.6726419495674976)"
Processed,"(1.4522162667906855,1.9782741999014164)"
Processed,"(0.8557702997346439,2.056071499704997)"
Processed,"(0.1704131329030818,1.7671100990131121)"
Processed,"(-0.5112394002886247,0.9965463655720712)"
Processed,"(-1.092866832785242,0.3741679660378594)"
Processed,"(-1.3336679994756966,0.0037046334819179627)"
Processed,"(-1.7374730333689001,-0.21857336611482214)"
Processed,"(-2.363556066700906,-0.2296872670343899)"
Processed,"(-3.1118920009877575,-0.07779730106708482)"
Processed,"(-4.141780067265339,0.36675869923196114)"
Processed,"(-5.012368900295904,1.0780482991734455)"
Processed,"(-5.293921033550138,1.8412027664403405)"
Processed,"(-5.242056166698541,2.6006526002253176)"
Processed,"(-5.260579333950193,3.089664199464498)"
Processed,"(-5.193895934434429,3.356397799264874)"
Processed,"(-4.890116000288685,3.419376566404286)"
Processed,"(-4.278851499620847,3.5008784993739086)"
Processed,"(-3.50828776665362,3.6564730996128216)"
Processed,"(-3.10448273402392,3.712042598998708)"
Processed,"(-3.2452588009669148,3.693519432378808)"
Processed,"(-3.2267356337152617,3.64165456568515)"
Processed,"(-3.2526680663513696,3.8380001324878434)"
Processed,"(-3.2193263661196747,4.045459599262477)"
Processed,"(-3.230440267039242,4.067687399364296)"
Processed,"(-3.560152633821093,4.004708633488387)"
Processed,"(-3.9454345007785205,3.915797433239053)"
Processed,"(-3.7861352665838752,3.7342704002060927)"
Processed,"(-3.2230310000754057,3.4860599659200497)"
Processed,"(-2.2413031666936902,2.897023265827844)"
Processed,"(-0.6352945539440995,0.9376727335102473)"
Processed,"(0.061126450082575445,4.308488566173203)"
Processed,"(1.5141611818737104,6.10015263197333)"
Processed,"(2.3444321479158745,6.918152436640707)"
Processed,"(-0.1481853339068273,9.37087001606644)"
Processed,"(-2.3079865665253294,11.932623966705847)"
Motor,"(-4.004911731649816,14.425529493411023)"
Processed,"(-5.475448066425145,15.463139532829544)"
Processed,"(-7.616726132739643,18.115657000380267)"
Processed,"(-9.291220399600874,18.456483267291986)"
Processed,"(-10.769369099343535,18.20086356604212)"
Processed,"(-12.173425132606617,17.330274732537738)"
Processed,"(-11.658481099151949,14.916706115252374)"
Processed,"(-8.10388541726472,7.853822666579902)"
Motor,"(-2.038652797303005,-5.890567136276644)"
Processed,"(-8.045466198208096,-1.4554934421257997)"
Motor,"(1.4727976668853593,-13.847845443193595)"
Motor,"(-7.151074429030491,-8.747209587405935)"
Motor,"(-5.660421480401146,-20.900069829539504)"
Motor,"(-4.368522258255714,-31.432548706055265)"
Motor,"(-3.0766230361102878,-41.96502758257099)"
Motor,"(-1.7847238139648613,-52.4975064590867)"
Motor,"(-0.49282459181943494,-63.02998533560242)"
Motor,"(0.7990746303259915,-73.56246421211813)"
Motor,"(2.090973852471418,-84.09494308863385)"
Motor,"(3.3828730746168443,-94.62742196514957)"
Motor,"(4.674772296762271,-105.15990084166528)"
Motor,"(5.966671518907695,-115.69237971818099)"
Processed,"(-23.192199708948436,0.30085207783425716)"
Motor,"(6.861063288085299,-122.9840958634611)"
Motor,"(-116.23144149570338,-19.067040898596336)"
Processed,"(-23.76184100999724,1.6342659445990435)"
Processed,"(-22.693966362251416,2.9112243606049546)"
Processed,"(-21.92746008347575,3.442662832199911)"
Processed,"(-21.872155199740547,3.693519432615716)"
Processed,"(-21.93358319008092,3.944142185601521)"
Processed,"(-22.120666009185005,3.867336824175249)"
Processed,"(-22.305597300857343,3.4564228998020243)"
Processed,"(-22.438964100520625,3.2637819666391863)"
Processed,"(-23.090979567120492,3.3452838997667476)"
Processed,"(-24.020842533650615,3.571266532845405)"
Processed,"(-24.520968033651418,3.6972240668083547)"
Processed,"(-23.994910100066875,3.8565232997394947)"
Processed,"(-22.298188032945873,4.125109216438769)"
Processed,"(-20.90154126664666,3.804658433203775)"
Processed,"(-19.304844300220736,3.641654565843088)"
Processed,"(-17.63035003367537,3.141529066000217)"
Processed,"(-16.181838400208676,3.048913232742777)"
Processed,"(-14.748145300353741,3.1785753995558927)"
Processed,"(-13.30333829989516,3.6046082330770997)"
